,mutual_info
alcohol,0.18296233019953534
volatile acidity,0.12880830504020668
sulphates,0.10443089004842054
density,0.0915152053871231
citric acid,0.07349598327986362
total sulfur dioxide,0.06674653705172329
fixed acidity,0.061333504744431
chlorides,0.01858962321971891
pH,0.015698798296699845
residual sugar,0.010834022221354989
free sulfur dioxide,0.007975652170707281
